Author,Title,Text,Date
Ijeoma Oluo,Mediocre,"[Note] The occupation came to an end shortly after LaVoy Finicum, one of the Malheur occupiers, was killed in a confrontation with federal law enforcement on the way from Malheur to a local rally. Finicum, author of the apocalyptic novel Only by Blood and Suffering: Regaining Lost Freedom, was shot on January 26, 2016, shortly after he was recorded on video shouting at officers, “You want a bloodbath? It’s going to be on your hands.”37 Officers maintain that Finicum was shot while reaching for a gun. Ryan Bundy was injured at the scene and arrested. Ammon was arrested shortly after. A few days later, Cliven Bundy was arrested while trying to board a plane to Oregon to join the fight with his sons. On February 12, forty-one days after Ammon first marched his armed group into the Malheur offices, the last holdouts at the reserve surrendered to authorities, and the standoff was over. Law enforcement officers confiscated dozens of guns and over sixteen thousand rounds of ammunition from the site.the occupation",2023-08-10
Ijeoma Oluo,Mediocre,"[Note] Plenty of women have met the “male feminist” who can quote bell hooks but will use those quotes to speak over you. Plenty of people of color have met the white antiracist who is all for Dr. King’s dream until people of color start asking white people to make actual sacrifices for racial justice. Ego can undermine even the best of intentions, but often, when things like this happen—when someone we trust as an ally ends up taking advantage of their position and then turning against the principles they once claimed to fight for when that abuse is discovered—we find that the intentions were never that great in the first place.plenty of women",2023-08-10
Ijeoma Oluo,Mediocre,"[Note] Biden got the message. If he continued to defend busing, he ran the real risk of becoming a one-term senator. In 1975, Joe Biden stunned his Senate colleagues by throwing his support behind known segregationist Jesse Helms’s proposed antibusing amendment to the Constitution. Speaking in defense of Helms’s amendment, Biden told the Senate, “I have become convinced that busing is a bankrupt concept.”19 In a later television interview, Biden warned that if the US government didn’t come up with a different solution for school segregation than busing, “we are going to end up with the races at war.” Biden explained that the good white people he represented weren’t racist, but busing might make them so: “You take people who aren’t racist, people who are good citizens, who believe in equal education and opportunity, and you stunt their children’s intellectual growth by busing them to an inferior school and you’re going to fill them with hatred.”20 Biden’s argument was that the white Northerners who had benefitted from schools that consolidated white wealth and excluded Black students from sharing in that wealth with legislation that kept their districts (and the corresponding property taxes and PTA funding opportunities) separate were not racist, but subjecting them to the same education that Black students had long been forced to endure would make them racist.biden got",2023-08-10
Ijeoma Oluo,Mediocre,"After busing was dismantled nationally, the “other methods” of desegregating schools that Biden insisted were more effective than busing never materialized. Without federal mandate forcing integration, schools slowly resegregated, and their funding followed. [Note] A 2019 report showed that nonwhite school districts received $23 billion less per year than their white counterparts. Even when controlled for income discrepancies, the funding was less, with poor white schools still receiving more funds than poor schools where the majority of the students were people of color.32 Funding disparities and the concentration of underprivileged students in schools with fewer resources than wealthier white schools have also led to a higher turnover of teachers in nonwhite schools. This all has contributed to persistent testing gaps between white students and Black, brown, and Native students. Biden’s home state of Delaware, like many states that were once ordered to use busing to desegregate their schools, has been resegregating in the years since busing ended. Busing there had been very successful at desegregating schools. In 1989, there were no intensely segregated (i.e., 90–100 percent minority-student) schools in the metro Wilmington area. But by 2010, the number of intensely segregated schools had grown to 15 percent. The average Latinx student in Wilmington attended a school where 61 percent of students were low income, and the average Black student attended a school where 56 percent of students were low income, while the average white student attended a school where only 37 percent of the students were low income.33 As racial disparities in educational funding and outcomes returned to Delaware, parents of color once again brought their case to the courts in hopes of obtaining equitable educational opportunities for their children. In a 2018 case, the state of Delaware argued in its defense that the Constitution doesn’t require that the state provide the children of Delaware with a fair or “adequate” education system.34",2023-08-10
Ijeoma Oluo,Mediocre,"[Note] What is a Bernie Bro? The term appears to have been first coined by Robinson Meyer at The Atlantic. It has come to stand for what some see as the stereotypical supersupporter of Sanders: a young, white man who will vigorously defend Sanders from any negative comment—usually with long lectures explaining how the commenter doesn’t understand politics or doesn’t care about poor people, people of color, and women if they don’t support Bernie, even if the person he is lecturing happens to be a woman of color.",2023-08-10
Ijeoma Oluo,Mediocre,"[Note] The candidacy of Sanders, who prioritized progressive issues of working- and middle-class white men over those of women and people of color (although if you were to ask Sanders or his supporters, they’d likely insist that the issues most important to working-class white men are the same as those facing working-class women and people of color), became an opportunity for white men to still see themselves centered in a new progressive future when the only other alternatives were a woman president or Donald Trump.",2023-08-10
Ijeoma Oluo,Mediocre,"[Note] This claim that the focus on identity distracts from “real” politics—while simultaneously centering how “identity politics” affect white men and claiming not to be engaging in identity politics—is a tightrope of hypocrisy that Sanders himself likes to walk. Let’s be clear: centering the needs of progressive, working-class, white men is identity politics. It is just as steeped in individual identity as movements focusing on women and people of color. But it comes with a level of privilege built in that allows it to escape wider scrutiny. Here is an excerpt from an interview that Sanders gave GQ magazine in 2019:",2023-08-10
Ijeoma Oluo,Mediocre,"[Note] Looking at the role that gender played in the 2016 election, the Center of Southern Politics and Society found that, even though sexism was more common in white Republican men, “roughly 11 million white male Independents and Democrats feel enough animosity towards working women and feminists to make them unlikely to vote for one of them.”55 In the end, 12 percent of Sanders supporters ended up supporting Trump in the general election. When surveyed, almost half of those Sanders supporters turned Trump voters said they disagreed that white people have advantages in the United States, whereas only about 5 percent of Clinton voters disagreed that white people have advantages.56",2023-08-10
Ijeoma Oluo,Mediocre,"[Note] Reagan’s disdain for higher education—especially government funding for higher education—was both political and personal in nature. In his run for governor of California in 1966, Reagan successfully campaigned in part on a pledge to “clean up” UC Berkeley. Outraged at 1960s protests against the Vietnam War, Reagan painted a picture of spoiled hippie kids learning to be ungrateful while living on taxpayer money. Once elected governor, Reagan had UC president Clark Kerr fired, violently cracked down on student protests (in 1969, the police response to one such protest—at the People’s Park in Berkeley—left one student dead and dozens of students wounded), and immediately began undermining the UC system’s programs to keep college financially attainable to any student who wished to attend.25 Having practiced on the University of California system, Reagan, once he became president of the United States, took his educational reforms national. He passed sweeping tax and spending cuts that slashed funding for students, making college more expensive and inaccessible to those who needed it the most. Due to the racial economic disparities in America, students of color were often more likely to need the financial assistance and educational programs that the US government had previously funded and were therefore some of the most greatly impacted by Reagan’s funding cuts. But at a time when middle- and working-class white America was dissatisfied with slower economic growth and increased competition at home (from women workers and workers of color) and abroad (from the rise in foreign manufacturing), Reagan was not punished politically for cutting the feet out from under underprivileged students. He was rewarded with reelection and the highest approval ratings since Franklin Roosevelt.26",2023-08-10
Ijeoma Oluo,Mediocre,"[Note] The white man who emails me to tell me that my people are a drain on society wouldn’t have a computer without Black and Asian people—not the machine, the electrical components, or the math in its programming. Mathematics itself would not exist without the Middle East. The rubber on the bottom of his tennis shoes wouldn’t exist without Native people. His grandma would have died without the pacemaker invented by Black people. And when he emerges from his mom’s basement after a day of playing video games—on a system that wouldn’t exist without Asian people—to make himself a peanut butter sandwich, the fact that the spread wouldn’t exist without a Black man sticks in his throat a little.",2023-08-10
Ijeoma Oluo,Mediocre,"This sort of resistance to low-income housing is found all across the country, even in liberal Seattle. [Note] It has kept Black and brown people from moving into neighborhoods that might be closer to their work. It has concentrated the poverty in neighborhoods of color, leaving schools that rely on property taxes underfunded. ",2023-08-10
Ijeoma Oluo,Mediocre,"[Note] Not content to just gauge public opinion, government officials aimed to shape it. Propaganda was targeted to women (like that developed by the Magazine Bureau), but pamphlets and short films were also produced to mold male opinions on working women. One pamphlet commissioned from the American Historical Association (AHA) by the War Department, titled Do You Want Your Wife to Work After the War?, was a discussion guide of sorts that endeavored to get GIs thinking about how they would handle the presence of women workers when they returned home. Covering historical opinions, the pamphlet highlighted flaws in past hostility toward women workers (while reaffirming how understandable those attitudes were) in order to soften men’s views toward women’s employment. It featured a fictionalized discussion between two soldiers on the pros and cons of women workers. One soldier argued that while most women were happy to be wives and mothers, many also needed the excitement and purpose of outside employment. He talked about the financial benefits and security of having a wife who was also bringing in income. The second soldier argued that women workers would be in direct competition with returning soldiers for employment, and that they would abandon their wifely and motherly duties in order to keep a job that should go to a man. “How about competition from these women that are staying on the job to support guys like you?” the second soldier argued. “They’re going to make it harder for me to do it my way.” The debate on the surface seemed to evenly represent the issue—if we ignore the fact that the entire debate is situated within the needs, desires, and opinions of men. The final section of the pamphlet—titled “Some Attempts to Solve the Women Problem”—lists possible ways to deal with women workers after the war, including those who wanted to keep working. Possible solutions include treating housework and child-rearing more like “a profession” and establishing training programs on household management. Another is to pay women not to work. The prospect of women staying in the workplace so long as men helped them with household chores in order to lighten their burden is briefly floated but immediately dismissed as too upsetting to the “traditional scheme of things.”27 While the pamphlet was initially framed as an impartial document in support of the war effort, the American History Association now acknowledges that it and other organizations like it were a part of the war machine intended to shape public opinion instead of merely gauging or reflecting it. The AHA admits that it “tailored its pamphlets to paint an idealized image of a postwar world that was essentially free of minorities, where women happily moved out of the factories and back into the kitchen, and where America would largely dominate the world stage.”28 I’m sure that many in the War Office congratulated themselves on the success of their propaganda campaigns (and celebrated them as proof of the suggestible nature of women). But it is likely that a large percentage of the 6.5 million women who worked did so because they needed to support themselves and their families. Perhaps they had always wanted to work but had previously been denied decent-paying jobs.29 Regardless of why they started, once the war was over many women wanted to keep working. The efforts of the US government may have helped cement public opinion overall against women working after the war; studies showed that when asked what to do with women workers postwar, 48 percent of respondents said “fire them” and an additional 36 percent said “fire them, unless they have dependents, or are war widows, or there are plenty of jobs.” The government was far less successful in getting the women who were doing the work to eagerly give it up.30 Studies and polls conducted in 1944 of working women showed that 75–80 percent of them wanted to keep their jobs after the war ended.31 Apparently, they decided to risk the possibility of divorce, infertility, and death that True Story had warned them of for daring to want to work for any other reason than to bring soldiers home.",2023-08-10
Ijeoma Oluo,Mediocre,"[Note] “Why,” he asked me in conclusion, “don’t people of color care more about important political issues?” Many white men see a political landscape dominated by white men and think it is that way because white men are just more politically minded. They think that the absence of women and people of color from powerful rooms is due to self-selection. They do not question how unwelcoming the room they have built might be. They do not question whether or not the discussions they are having in that room are inclusive and generate productive discussions for women and people of color. They don’t ask if there are other, equally important conversations happening in other rooms. And they don’t even bother to ask if anyone unlocked the door. They look at the room and say that women and people of color aren’t in it because women and people of color aren’t interested. Then they cite this supposed disinterest as proof that women and people of color are too unqualified to even be invited in. I tried to raise the possibility that maybe a room full of white people in one of the whitest states in the country was not the most welcoming to people of color. I tried to assure him not only that people of color cared about the environment, but that Indigenous people actually invented the environmentalism he was claiming as his own. But he didn’t want to hear me. He finally shook his head and said, “Well, we don’t have to agree on all that.” As he walked away and I went back to teaching the class, I couldn’t help but imagine how this man would react if the people of color who had long been fighting to protect the environment and protect people of color from the devastating environmental impacts of white supremacist capitalism were to just show up at his next environmental club meeting. I don’t think he’d love it as much as he claims. While we like to give lip service to the diversity and open opportunity of our political process, the truth is that much of white America completely ignores the political lives of people of color—especially women of color. We are often seen as a reliably Democratic voting bloc, to be pulled out each election cycle to vote for a mediocre white Democratic candidate and then put back in storage until the next election. At least that’s how white Democrats see us. Many white Republicans also see us as a reliably Democratic voting bloc, to be prevented from exercising our right to vote at all costs. Sure, one is worse than the other, but both are pretty shitty.",2023-08-10
Ijeoma Oluo,Mediocre,"[Note] American football had its beginnings in the Ivy League colleges, which were attended by young elites like Roosevelt. Its early days were so violent that dozens of student athletes died every year, nearly dooming the sport before it fully got off the ground. The Smithsonian detailed some of the injuries recorded during a particularly brutal college game in 1905: “Four concussions, three ‘kicks in the head,’ seven broken collarbones, three grave spinal injuries, five serious internal injuries, three broken arms, four dislocated shoulders, four broken noses, three broken shoulder blades, three broken jaws, two eyes ‘gouged out,’ one player bitten and another knocked unconscious three times in the same game, one breastbone fractured, one ruptured intestine and one player ‘dazed.’”2",2023-08-10
Ijeoma Oluo,Mediocre,"But I think it’s more than just the climb. It’s the expectation that many white men have that they shouldn’t have to climb, shouldn’t have to struggle, as others do. It’s the idea not only that they think they have less than others, but that they were supposed to have so much more. When you are denied the power, the success, or even the relationships that you think are your right, you either believe that you are broken or you believe that you have been stolen from. White men who think they have been stolen from often take that anger out on others. White men who think they are broken take that anger out on themselves. [Note] There were 47,173 suicides in 2017. Of those, 70 percent were white men, and the rate of white male suicides is rising.5 Across the country, people are mourning the losses of sons, fathers, husbands, and friends who have chosen this particularly devastating way out. Right now, white men are the biggest domestic terror threats in this country. They are shooting up schools, shopping malls, and casinos. Seventy percent of school shooters are white males.6 In the years since the terror attacks on September 11, 2001, white male terrorists have killed more Americans than Jihadi terrorists.7 In a world where many people of many different races and genders are bullied, where many people feel left out and overlooked, it is white men who are choosing to turn that pain and fear into self-harm and murderous rage far more frequently than almost anybody else in America. Whatever is happening with white men that causes them to open fire on innocents, I’m not sure how much of it can be prevented by simply listening to them. I do believe that love can solve many problems. I believe that love can guide us through some of the darkest times. But what does it mean to truly love white men who are violently enforcing white male supremacy? What does it mean to truly love white men who feel entitled to status and are angry at the world when they do not get it? And what would it mean to love the same people whom those white men seek to harm? The emails started coming in 2018. They would usually arrive after I had posted an article on race or gender, but sometimes they would appear at random. I still remember the first one, which shook me.",2023-08-10
Ijeoma Oluo,Mediocre,"But I think it’s more than just the climb. It’s the expectation that many white men have that they shouldn’t have to climb, shouldn’t have to struggle, as others do. It’s the idea not only that they think they have less than others, but that they were supposed to have so much more. When you are denied the power, the success, or even the relationships that you think are your right, you either believe that you are broken or you believe that you have been stolen from. White men who think they have been stolen from often take that anger out on others. White men who think they are broken take that anger out on themselves. [Note] There were 47,173 suicides in 2017. Of those, 70 percent were white men, and the rate of white male suicides is rising.5 Across the country, people are mourning the losses of sons, fathers, husbands, and friends who have chosen this particularly devastating way out. Right now, white men are the biggest domestic terror threats in this country. They are shooting up schools, shopping malls, and casinos. Seventy percent of school shooters are white males.6 In the years since the terror attacks on September 11, 2001, white male terrorists have killed more Americans than Jihadi terrorists.7 In a world where many people of many different races and genders are bullied, where many people feel left out and overlooked, it is white men who are choosing to turn that pain and fear into self-harm and murderous rage far more frequently than almost anybody else in America. Whatever is happening with white men that causes them to open fire on innocents, I’m not sure how much of it can be prevented by simply listening to them. I do believe that love can solve many problems. I believe that love can guide us through some of the darkest times. But what does it mean to truly love white men who are violently enforcing white male supremacy? What does it mean to truly love white men who feel entitled to status and are angry at the world when they do not get it? And what would it mean to love the same people whom those white men seek to harm? The emails started coming in 2018. They would usually arrive after I had posted an article on race or gender, but sometimes they would appear at random. I still remember the first one, which shook me.",2023-08-10
Caroline Criado Perez,Invisible Women,"[Note] We don’t even allow non-humans to escape our perception of the world as overwhelmingly male: when researchers in one study attempted to prompt participants to see a gender-neutral stuffed animal as female by using female pronouns, children, parents and carers still overwhelmingly referred to the animal as ‘he’.",2023-08-10
