Line Number,French Sentence,English Translation,last_run,last_score
"[1] L’
",Je vous l’ai dit !,I told you so.,0,0
"[1] L’
",Je te l’ai dit !,I told you so.,0,0
"[1] L’
",À tout à l’heure !,See you soon!,0,0
"[1] L’
",Ça a l’air bien !,That sounds good!,0,0
"[1] L’
",De quoi ça a l’air ?,What does it look like?,0,0
"[1] L’
",De quoi ça a l’air ?,How does it look?,0,0
"[1] L’
",Je l’ai trouvé !,I've found it.,0,0
"[1] L’
",Je vais être en retard à l’école !,I'll be late for school!,0,0
"[1] L’
",Qui l’a fait ?,Who did it?,0,0
"[1] L’
",Ta femme m'a vu et te l’a dit ?,Your wife saw me and told you?,0,0
"[2] DE
",Je ne veux pas de ça !,I don't want that.,0,0
"[2] DE
",Ne parle pas de moi !,Don't talk about me.,0,0
"[2] DE
",Qui est le plus grand de tous ?,Who is the tallest of all?,0,0
"[2] DE
",Qui ne pense pas de même ?,Who doesn't think so?,0,0
"[2] DE
",Il y a trop de choses à faire !,There are too many things to do!,0,0
"[2] DE
","Tu ne veux pas de cela, si ?","You don't want that, do you?",0,0
"[2] DE
",C'est la voiture de qui ?,Whose car is that?,0,0
"[2] DE
",Il fait un temps de chien,What horrible weather.,0,0
"[2] DE
",Qui est en train de lire ?,Who is reading?,0,0
"[2] DE
",C'est la chambre de qui ?,Whose room is this?,0,0
"[3] À
",Qui est à la maison ?,Who is in the house?,0,0
"[3] À
",Il y a trop de choses à faire !,There are too many things to do!,0,0
"[3] À
",Cette chose est à toi ?,Is that thing yours?,0,0
"[3] À
",À tout à l’heure !,See you soon!,0,0
"[3] À
",Ne parle à personne !,Don't talk to anyone.,0,0
"[3] À
",Vous avez quelque chose à me dire ?,Do you have something that you want to say to me?,0,0
"[3] À
",Je suis tout à fait d'accord !,I agree completely.,0,0
"[3] À
",Ne fais de mal à personne !,Don't hurt anyone.,0,0
"[3] À
",Je ne comprends rien à ce qu'il dit,I don't understand a word of what he says.,0,0
"[3] À
",Tu as quelque chose à manger ?,Have you anything to eat?,0,0
"[4] LA
",Qui est à la maison ?,Who is in the house?,0,0
"[4] LA
",Qui est dans la maison?,Who is in the house?,0,0
"[4] LA
",Je dois la voir !,I have to see it!,0,0
"[4] LA
",C'est la vie !,This is life!,0,0
"[4] LA
",C'est la vie !,So goes life!,0,0
"[4] LA
",C'est la voiture de qui ?,Whose car is that?,0,0
"[4] LA
",C'est la chambre de qui ?,Whose room is this?,0,0
"[4] LA
",Comment est la vie ?,How's life?,0,0
"[4] LA
",Comment est la vie ?,How is life?,0,0
"[4] LA
",Tu la connais ?,Do you know her?,0,0
"[5] PAS
",Ne me suis pas !,Don't follow me.,0,0
"[5] PAS
",Je ne suis pas comme vous !,I'm not like you!,0,0
"[5] PAS
","Tu ne peux pas le faire, si ?","You can't do it, can you?",0,0
"[5] PAS
",Moi je ne suis pas comme vous !,I'm not like you!,0,0
"[5] PAS
",Tu ne peux pas ou tu ne veux pas ?,You can't or you won't?,0,0
"[5] PAS
",Je ne suis pas un homme !,I'm not a man!,0,0
"[5] PAS
",Je ne suis pas un homme !,I am not a man!,0,0
