ingredients,amounts
olivenolie,968.5
bredbladet persille,174.0
citron,5.75
feta,12.5
frisk basilikum,0.0
grøntsagsbouillon,189.0
gulerod,2.0
hvedemel,770.0
hvidløg,0.0
kartoffel,393.5
kikærter,397.5
koncentreret tomatpuré,45.0
løg,0.0
pinjekerner,12.5
porre,0.0
rucola,40.0
rødløg,0.5
soltørrede tomater i olie,53.0
stødt koriander,0.5
tahin,0.5
æg,1.0
avocado,33.0
cherrytomater,100.0
gær,10.0
hakkede tomater,0.0
parmesan,12.0
spinat,50.0
squash,0.0
timian,0.0
champignon,125.0
fuldkornshvedemel,875.0
hasselnødder,146.0
smør,1.5
persille,178.0
cayenne peber,0.5
cheddar ost,62.5
flødeost,112.5
rød peberfrugt,1.0
frisk timian,0.0
spaghetti,150.0
æblecidereddike,746.0
pasta,50.0
rød chili,0.75
blomkål,0.5
rasp,498.0
aubergine,0.5
rosmarin,0.5
røget paprika,0.5
sødmælk,999.5
