urls,ingredients,amounts,unit
recipe 0,grøntsagsbouillon,194.0,
recipe 0,hvidløg,9.0,fed
recipe 0,løg,5.0,stk
recipe 0,olivenolie,999.0,ml
recipe 0,parmesan,125.0,g
recipe 0,piskefløde,26.0,ml
recipe 0,rasp,485.0,g
recipe 0,soltørrede tomater i olie,70.0,g
recipe 0,spinat,200.0,g
recipe 0,squash,0.5,stk
recipe 1,broccoli,399.5,g
recipe 1,græskarkerner,249.0,g
recipe 1,grønkål,175.0,g
recipe 1,grøntsagsbouillon,198.9,
recipe 1,honning,399.5,g
recipe 1,hvidløg,9.5,fed
recipe 1,kartoffel,598.0,g
recipe 1,løg,4.0,stk
recipe 1,olivenolie,999.0,ml
recipe 1,piskefløde,26.0,ml
recipe 1,timian,0.5,stk
recipe 1,æble,8.0,stk
recipe 1,æblecidereddike,749.5,ml
recipe 2,grøntsagsbouillon,199.5,
recipe 2,hvidløg,9.0,fed
recipe 2,løg,5.0,stk
recipe 2,olivenolie,999.0,ml
recipe 2,parmesan,160.0,g
recipe 2,pasta,50.0,g
recipe 2,piskefløde,26.25,ml
recipe 2,spaghetti,300.0,g
recipe 2,spinat,187.5,g
recipe 2,squash,0.5,stk
recipe 3,grøntsagsbouillon,198.0,
recipe 3,hakkede tomater,0.5,stk
recipe 3,hvidløg,8.5,fed
recipe 3,løg,5.0,stk
recipe 3,olivenolie,999.0,ml
recipe 3,parmesan,137.5,g
recipe 3,pasta,50.0,g
recipe 3,piskefløde,26.25,ml
recipe 3,rasp,485.0,g
recipe 3,soltørrede tomater i olie,95.0,g
recipe 3,squash,0.5,stk
recipe 4,bredbladet persille,179.0,g
recipe 4,fuldkornshvedemel,937.5,g
recipe 4,gær,25.0,g
recipe 4,hvedemel,1587.5,g
recipe 4,hvidløg,11.5,fed
recipe 4,kartoffel,898.5,g
recipe 4,olivenolie,997.0,ml
recipe 4,rødløg,6.5,stk
recipe 5,grøntsagsbouillon,196.0,
recipe 5,hakkede tomater,0.5,stk
recipe 5,hvidløg,8.5,fed
recipe 5,løg,5.0,stk
recipe 5,olivenolie,999.0,ml
recipe 5,parmesan,137.5,g
recipe 5,pasta,50.0,g
recipe 5,piskefløde,26.25,ml
recipe 5,soltørrede tomater i olie,95.0,g
recipe 5,spinat,200.0,g
recipe 6,grøntsagsbouillon,194.0,
recipe 6,hvidløg,9.0,fed
recipe 6,løg,5.0,stk
recipe 6,olivenolie,999.0,ml
recipe 6,parmesan,125.0,g
recipe 6,piskefløde,26.0,ml
recipe 6,rasp,485.0,g
recipe 6,soltørrede tomater i olie,70.0,g
recipe 6,spinat,200.0,g
recipe 6,squash,0.5,stk
recipe 7,basmati ris,498.5,g
recipe 7,bredbladet persille,179.0,g
recipe 7,gulerod,6.0,stk
recipe 7,hvidløg,8.5,fed
recipe 7,ingefær,199.5,g
recipe 7,kartoffel,800.0,g
recipe 7,kokosmælk,200.0,ml
recipe 7,løg,5.0,stk
recipe 7,mayonnaise,335.0,g
recipe 7,olivenolie,998.0,ml
recipe 7,sesamfrø,237.5,g
recipe 7,soja,249.5,ml
recipe 7,spinat,100.0,g
recipe 7,sriracha chilisauce,449.5,ml
recipe 7,sukker,985.0,g
recipe 7,æblecidereddike,749.5,ml
recipe 7,æg,4.0,stk
recipe 8,bacon,75.0,g
recipe 8,bredbladet persille,179.0,g
recipe 8,hvidløg,9.5,fed
recipe 8,kartoffel,800.0,g
recipe 8,løg,5.25,stk
recipe 8,olivenolie,998.0,ml
recipe 8,piskefløde,26.0,ml
recipe 8,æg,4.0,stk
recipe 9,frisk basilikum,0.5,stk
recipe 9,græskarkerner,237.5,g
recipe 9,hvidløg,10.0,fed
recipe 9,kapers,52.5,g
recipe 9,olivenolie,999.25,ml
recipe 9,parmesan,174.5,g
recipe 9,smør,2.0,g
recipe 9,valnødder,95.0,g
recipe 10,frisk mynte,0.5,stk
recipe 10,grøntsagsbouillon,199.5,
recipe 10,hvidløg,11.0,fed
recipe 10,hvidvin,749.5,ml
recipe 10,løg,5.5,stk
recipe 10,olivenolie,999.25,ml
recipe 10,parmesan,174.5,g
recipe 10,smør,4.0,g
recipe 11,frisk timian,0.5,stk
recipe 11,hvidløg,11.0,fed
recipe 11,parmesan,100.0,g
recipe 11,pasta,100.0,g
recipe 11,piskefløde,26.5,ml
recipe 11,smør,4.5,g
recipe 12,bredbladet persille,179.0,g
recipe 12,citron,5.75,stk
recipe 12,frisk mynte,0.5,stk
recipe 12,grøntsagsbouillon,197.5,
recipe 12,hakkede tomater,0.5,stk
