ingredients,pareto,purchase_unit,spice,price,purchase_size
smør,True,g,0.0,26.0,200.0
smør,True,g,0.0,26.0,200.0
smør,True,g,0.0,26.0,200.0
olivenolie,True,ml,0.0,160.0,1000.0
olivenolie,True,ml,0.0,160.0,1000.0
olivenolie,True,ml,0.0,160.0,1000.0
olivenolie,True,ml,0.0,160.0,1000.0
sukker,True,g,0.0,25.0,1000.0
sukker,True,g,0.0,25.0,1000.0
sukker,True,g,0.0,25.0,1000.0
sukker,True,g,0.0,25.0,1000.0
hvidløg,True,fed,0.0,30.0,12.0
æg,True,stk,0.0,36.0,10.0
æg,True,stk,0.0,36.0,10.0
hvedemel,True,g,0.0,18.0,2000.0
hvedemel,True,g,0.0,18.0,2000.0
hvedemel,True,g,0.0,18.0,2000.0
hvedemel,True,g,0.0,18.0,2000.0
salt,True,g,1.0,,
salt,True,g,1.0,,
salt,True,g,1.0,,
salt,True,g,1.0,,
salt,True,g,1.0,,
løg,True,stk,0.0,15.0,6.0
vand,True,stk,1.0,0.0,0.0
vand,True,stk,1.0,0.0,0.0
vand,True,stk,1.0,0.0,0.0
vand,True,stk,1.0,0.0,0.0
vand,True,stk,1.0,0.0,0.0
piskefløde,True,ml,0.0,27.0,500.0
piskefløde,True,ml,0.0,27.0,500.0
piskefløde,True,ml,0.0,27.0,500.0
øko citron,True,,,,
mælk,True,ml,0.0,15.0,1000.0
mælk,True,ml,0.0,15.0,1000.0
mælk,True,ml,0.0,15.0,1000.0
%,True,,1.0,,
mørk chokolade,True,g,0.0,18.0,100.0
mørk chokolade,True,g,0.0,18.0,100.0
grøntsagsbouillon,True,g,0.0,45.0,200.0
grøntsagsbouillon,True,g,0.0,45.0,200.0
kanel,True,stk,1.0,0.0,1.0
kanel,True,stk,1.0,0.0,1.0
kanel,True,stk,1.0,0.0,1.0
stødt spidskommen,True,stk,1.0,0.0,1.0
stødt spidskommen,True,stk,1.0,0.0,1.0
stødt spidskommen,True,stk,1.0,0.0,1.0
stødt spidskommen,True,stk,1.0,0.0,1.0
gulerod,True,stk,0.0,20.0,8.0
gulerod,True,stk,0.0,20.0,8.0
ingefær,True,g,0.0,15.0,200.0
ingefær,True,g,0.0,15.0,200.0
ingefær,True,g,0.0,15.0,200.0
honning,True,g,0.0,25.0,400.0
honning,True,g,0.0,25.0,400.0
honning,True,g,0.0,25.0,400.0
gær,True,g,0.0,1.5,50.0
cremefraiche,True,g,0.0,13.0,200.0
cremefraiche,True,g,0.0,13.0,200.0
cremefraiche,True,g,0.0,13.0,200.0
parmesan,True,g,0.0,65.0,200.0
parmesan,True,g,0.0,65.0,200.0
parmesan,True,g,0.0,65.0,200.0
rødløg,True,stk,0.0,12.0,7.0
bagepulver,False,stk,1.0,0.0,1.0
bagepulver,False,stk,1.0,0.0,1.0
vaniljestang,False,stk,1.0,0.0,1.0
stødt kardemomme,True,,1.0,,
bredbladet persille,True,g,0.0,21.0,180.0
bredbladet persille,True,g,0.0,21.0,180.0
bredbladet persille,True,g,0.0,21.0,180.0
mandler,True,g,0.0,25.0,150.0
mandler,True,g,0.0,25.0,150.0
mandler,True,g,0.0,25.0,150.0
mandler,True,g,0.0,25.0,150.0
timian,True,stk,1.0,0.0,1.0
timian,True,stk,1.0,0.0,1.0
timian,True,stk,1.0,0.0,1.0
timian,True,stk,1.0,0.0,1.0
frisk koriander,True,stk,1.0,0.0,1.0
æblecidereddike,True,ml,0.0,53.0,750.0
æblecidereddike,True,ml,0.0,53.0,750.0
æblecidereddike,True,ml,0.0,53.0,750.0
vaniljepulver,False,,1.0,,
squash,True,stk,0.0,8.0,1.0
squash,True,stk,0.0,8.0,1.0
flormelis,False,g,0.0,16.0,500.0
flormelis,False,g,0.0,16.0,500.0
flormelis,False,g,0.0,16.0,500.0
flormelis,False,g,0.0,16.0,500.0
dijon sennep,True,g,0.0,35.0,380.0
dijon sennep,True,g,0.0,35.0,380.0
citron,True,stk,0.0,15.0,6.0
citron,True,stk,0.0,15.0,6.0
røget paprika,True,stk,1.0,0.0,1.0
røget paprika,True,stk,1.0,0.0,1.0
røget paprika,True,stk,1.0,0.0,1.0
kartoffel,True,g,0.0,12.0,1000.0
kartoffel,True,g,0.0,12.0,1000.0
koncentreret tomatpuré,True,g,0.0,23.0,200.0
koncentreret tomatpuré,True,g,0.0,23.0,200.0
koncentreret tomatpuré,True,g,0.0,23.0,200.0
koncentreret tomatpuré,True,g,0.0,23.0,200.0
avocado,True,stk,0.0,5.0,35.0
lime,True,stk,0.0,1.0,5.0
agurk,True,stk,0.0,9.0,1.0
agurk,True,stk,0.0,9.0,1.0
chiliflager,True,,1.0,,
mayonnaise,True,g,0.0,40.0,350.0
mayonnaise,True,g,0.0,40.0,350.0
mayonnaise,True,g,0.0,40.0,350.0
mayonnaise,True,g,0.0,40.0,350.0
sød paprika,True,,1.0,,
frisk mynte,True,stk,1.0,0.0,1.0
hasselnødder,True,g,0.0,25.0,150.0
hasselnødder,True,g,0.0,25.0,150.0
hasselnødder,True,g,0.0,25.0,150.0
hakkede tomater,True,stk,0.0,7.0,1.0
hakkede tomater,True,stk,0.0,7.0,1.0
vaniljesukker,False,stk,1.0,0.0,1.0
vaniljesukker,False,stk,1.0,0.0,1.0
vaniljesukker,False,stk,1.0,0.0,1.0
æble,True,stk,0.0,18.0,9.0
æble,True,stk,0.0,18.0,9.0
rød chili,True,stk,0.0,5.0,1.0
rød chili,True,stk,0.0,5.0,1.0
frisk basilikum,True,stk,1.0,0.0,1.0
stødt koriander,True,stk,1.0,0.0,1.0
stødt koriander,True,stk,1.0,0.0,1.0
stødt koriander,True,stk,1.0,0.0,1.0
stødt koriander,True,stk,1.0,0.0,1.0
havregryn,True,g,0.0,12.0,1000.0
havregryn,True,g,0.0,12.0,1000.0
havregryn,True,g,0.0,12.0,1000.0
frisk timian,True,stk,1.0,0.0,1.0
frisk mozzarella,True,,,,
sesamfrø,True,g,0.0,20.0,250.0
sesamfrø,True,g,0.0,20.0,250.0
sesamfrø,True,g,0.0,20.0,250.0
sesamfrø,True,g,0.0,20.0,250.0
brun farin,True,g,0.0,21.0,500.0
brun farin,True,g,0.0,21.0,500.0
brun farin,True,g,0.0,21.0,500.0
brun farin,True,g,0.0,21.0,500.0
banan,False,stk,0.0,4.0,1.0
æggeblomme,True,g,0.0,22.0,150.0
fuldkornshvedemel,True,g,0.0,26.0,1000.0
fuldkornshvedemel,True,g,0.0,26.0,1000.0
fuldkornshvedemel,True,g,0.0,26.0,1000.0
øko lime,True,,,,
rød peberfrugt,True,stk,0.0,20.0,3.0
champignon,True,g,0.0,18.0,200.0
persille,True,g,0.0,21.0,180.0
persille,True,g,0.0,21.0,180.0
persille,True,g,0.0,21.0,180.0
marcipan,False,g,0.0,50.0,200.0
soja,True,ml,0.0,21.0,250.0
soja,True,ml,0.0,21.0,250.0
soja,True,ml,0.0,21.0,250.0
feta,True,g,0.0,33.0,150.0
feta,True,g,0.0,33.0,150.0
soltørrede tomater i olie,True,g,0.0,40.0,120.0
soltørrede tomater i olie,True,g,0.0,40.0,120.0
cheddar ost,True,g,0.0,24.0,125.0
cheddar ost,True,g,0.0,24.0,125.0
cherrytomater,True,g,0.0,15.0,250.0
rucola,True,g,0.0,20.0,100.0
basmati ris,True,g,0.0,41.0,500.0
basmati ris,True,g,0.0,41.0,500.0
oregano,True,,1.0,,
purløg,True,g,0.0,9.0,180.0
purløg,True,g,0.0,9.0,180.0
purløg,True,g,0.0,9.0,180.0
græsk yoghurt,True,g,0.0,24.0,500.0
græsk yoghurt,True,g,0.0,24.0,500.0
græsk yoghurt,True,g,0.0,24.0,500.0
