ingredients,urls,pareto,unit,spice,faktor,price,purchase_size
smør,503,True,g,0.0,1.0,12.0,5.0
smør,503,True,g,0.0,15.0,12.0,5.0
smør,503,True,g,0.0,5.0,12.0,5.0
olivenolie,500,True,ml,0.0,15.0,160.0,1000.0
olivenolie,500,True,ml,0.0,10.0,160.0,1000.0
olivenolie,500,True,ml,0.0,5.0,160.0,1000.0
olivenolie,500,True,ml,0.0,1.0,160.0,1000.0
sukker,455,True,g,0.0,1.0,25.0,1000.0
sukker,455,True,g,0.0,15.0,25.0,1000.0
sukker,455,True,g,0.0,5.0,25.0,1000.0
sukker,455,True,g,0.0,10.0,25.0,1000.0
hvidløg,432,True,fed,0.0,1.0,30.0,12.0
æg,369,True,stk,0.0,1.0,36.0,10.0
æg,369,True,stk,0.0,0.1,36.0,10.0
hvedemel,353,True,g,0.0,1.0,18.0,2000.0
hvedemel,353,True,g,0.0,15.0,18.0,2000.0
hvedemel,353,True,g,0.0,10.0,18.0,2000.0
hvedemel,353,True,g,0.0,5.0,18.0,2000.0
salt,313,True,g,1.0,5.0,,
salt,313,True,g,1.0,15.0,,
salt,313,True,g,1.0,,,
salt,313,True,g,1.0,1.0,,
salt,313,True,g,1.0,10.0,,
løg,243,True,stk,0.0,1.0,15.0,6.0
vand,230,True,stk,1.0,0.1,0.0,0.0
vand,230,True,stk,1.0,1.0,0.0,0.0
vand,230,True,stk,1.0,0.2,0.0,0.0
vand,230,True,stk,1.0,,0.0,0.0
vand,230,True,stk,1.0,0.15,0.0,0.0
piskefløde,203,True,ml,0.0,10.0,500.0,27.0
piskefløde,203,True,ml,0.0,15.0,500.0,27.0
piskefløde,203,True,ml,0.0,1.0,500.0,27.0
øko citron,186,,,,,,
mælk,170,True,ml,0.0,10.0,15.0,1000.0
mælk,170,True,ml,0.0,15.0,15.0,1000.0
mælk,170,True,ml,0.0,1.0,15.0,1000.0
%,167,True,,1.0,,,
mørk chokolade,134,True,g,0.0,1.0,18.0,100.0
mørk chokolade,134,True,g,0.0,15.0,18.0,100.0
grøntsagsbouillon,133,True,g,0.0,10.0,45.0,200.0
grøntsagsbouillon,133,True,g,0.0,1.0,45.0,200.0
kanel,130,True,stk,1.0,0.15,0.0,1.0
kanel,130,True,stk,1.0,0.05,0.0,1.0
kanel,130,True,stk,1.0,0.2,0.0,1.0
stødt spidskommen,129,True,stk,1.0,0.15,0.0,1.0
stødt spidskommen,129,True,stk,1.0,0.2,0.0,1.0
stødt spidskommen,129,True,stk,1.0,0.05,0.0,1.0
stødt spidskommen,129,True,stk,1.0,1.0,0.0,1.0
gulerod,129,True,stk,0.0,1.0,20.0,8.0
gulerod,129,True,stk,0.0,0.1,20.0,8.0
ingefær,126,True,g,0.0,15.0,15.0,200.0
ingefær,126,True,g,0.0,5.0,15.0,200.0
ingefær,126,True,g,0.0,1.0,15.0,200.0
honning,125,True,g,0.0,15.0,25.0,400.0
honning,125,True,g,0.0,5.0,25.0,400.0
honning,125,True,g,0.0,1.0,25.0,400.0
gær,123,True,g,0.0,1.0,1.5,50.0
cremefraiche,122,True,g,0.0,10.0,13.0,200.0
cremefraiche,122,True,g,0.0,15.0,13.0,200.0
