ingredients,pareto,purchase_unit,type,price,purchase_size,salad_averaeg,veggie_average,count
olivenolie,True,ml,long,160.0,1000.0,,,499
smør,True,g,long,26.0,200.0,37.5,24.43548387,495
sukker,True,g,long,25.0,1000.0,126.9444444,81.15384615,477
hvidløg,True,fed,long,30.0,12.0,0.8765432099,1.140070922,446
æg,True,stk,short,36.0,10.0,0.8125,1.40625,392
hvedemel,True,g,long,18.0,2000.0,153.5227273,115.9615385,390
salt,True,g,long,,,5.0,5.0,389
vand,True,stk,long,0.0,0.0,,,301
løg,True,stk,short,15.0,6.0,0.6944444444,0.7006578947,266
piskefløde,True,ml,short,27.0,500.0,,,220
citron,True,stk,short,15.0,6.0,0.4121621622,0.3944444444,203
mælk,True,ml,short,15.0,1000.0,,,187
stødt spidskommen,True,stk,long,0.0,1.0,0.25,0.25,144
ingefær,True,g,short,15.0,200.0,8.125,8.4375,140
honning,True,g,long,25.0,400.0,,,139
gulerod,True,stk,short,20.0,8.0,1.75,1.5625,138
kanel,True,stk,long,0.0,1.0,,,138
mørk chokolade,True,g,short,18.0,100.0,,50.41666667,135
gær,True,g,long,1.5,50.0,10.0,9.090909091,133
rødløg,True,stk,short,12.0,7.0,0.5803571429,0.5705128205,124
bagepulver,True,stk,long,0.0,1.0,,,119
parmesan,True,g,long,65.0,200.0,20.2173913,31.08974359,113
stødt kardemomme,True,,long,,,,,111
frisk koriander,True,stk,long,0.0,1.0,,,111
bredbladet persille,True,g,long,21.0,180.0,,,110
hakkede tomater,True,stk,short,7.0,1.0,,,106
squash,True,stk,short,8.0,1.0,0.5714285714,0.5166666667,102
mandler,True,g,long,25.0,150.0,29.28571429,37.5,102
æblecidereddike,True,ml,long,53.0,750.0,,,102
dijon sennep,True,g,long,35.0,380.0,,,102
vaniljestang,True,stk,long,0.0,1.0,0.5,0.3333333333,102
timian,True,stk,long,0.0,1.0,,,102
røget paprika,True,stk,long,0.0,1.0,,,99
vaniljepulver,True,,long,,,,,97
frisk timian,True,stk,long,0.0,1.0,,,97
flormelis,True,g,long,16.0,500.0,,33.33333333,96
frisk mynte,True,stk,long,0.0,1.0,0.5,0.5,96
citron,True,stk,short,15.0,6.0,0.35625,0.359375,95
kartoffel,True,g,short,12.0,1000.0,191.6666667,197.5,91
avocado,True,stk,short,5.0,35.0,0.7083333333,0.6851851852,89
mayonnaise,True,g,short,40.0,350.0,,22.5,87
agurk,True,stk,short,9.0,1.0,0.4318181818,0.375,87
æble,True,stk,short,18.0,9.0,0.7619047619,0.7058823529,85
koncentreret tomatpuré,True,g,short,23.0,200.0,42.5,39.0625,85
sød paprika,True,,long,,,,,85
chiliflager,True,,long,,,,,82
lime,True,stk,short,1.0,5.0,0.5625,0.6,79
stødt koriander,True,stk,long,0.0,1.0,,,78
bacon,True,g,short,20.0,100.0,25.0,41.66666667,74
rød chili,True,stk,short,5.0,1.0,0.2916666667,0.3125,73
vaniljesukker,True,stk,long,0.0,1.0,,,73
frisk basilikum,True,stk,long,0.0,1.0,,,73
sesamfrø,True,g,long,20.0,250.0,43.75,10.41666667,71
hasselnødder,True,g,short,25.0,150.0,28.33333333,33.0,70
havregryn,True,g,long,12.0,1000.0,28.33333333,33.33333333,70
fuldkornshvedemel,True,g,long,26.0,1000.0,46.66666667,33.4375,67
brun farin,True,g,long,21.0,500.0,,,65
frisk rosmarin,True,,long,,,,,64
frisk mozzarella,True,g,short,24.0,125.0,67.91666667,76.63043478,61
persille,True,g,short,21.0,180.0,25.0,,61
lime,True,stk,short,21.0,6.0,0.4166666667,0.5178571429,60
cheddar ost,True,g,short,24.0,125.0,50.83333333,50.68181818,59
banan,True,stk,short,4.0,1.0,,0.8333333333,58
æggeblomme,True,g,short,22.0,150.0,,,58
rucola,True,g,short,20.0,100.0,59.6875,54.46428571,58
forårsløg,True,stk,short,14.0,4.0,1.25,1.178571429,58
rød peberfrugt,True,stk,short,20.0,3.0,0.7777777778,0.75,56
basmati ris,True,g,long,41.0,500.0,,150.0,55
champignon,True,g,short,18.0,200.0,50.0,138.2352941,53
cherrytomater,True,g,short,15.0,250.0,109.375,130.0,52
soja,True,ml,short,21.0,250.0,,,52
frisk dild,True,g,short,9.0,180.0,,,52
purløg,True,g,short,9.0,180.0,,,51
marcipan,True,g,short,50.0,200.0,,50.0,47
soltørrede tomater i olie,True,g,long,40.0,120.0,62.5,23.61111111,47
spidskål,True,stk,short,15.0,1.0,0.4545454545,0.375,46
tomat,True,stk,short,24.0,10.0,2.428571429,1.944444444,45
oregano,True,,long,,,,,45
muskatnød,True,,long,,,,,45
hakket oksekød,True,g,meat,52.0,400.0,,,44
feta,True,g,short,33.0,150.0,36.94444444,48.67647059,44
kakao,True,ml,short,16.0,330.0,,,43
fishsauce,True,ml,short,25.0,200.0,,,42
spinat,True,g,short,28.0,250.0,79.16666667,105.2631579,42
flødeost,True,g,short,20.0,150.0,,37.5,41
bladselleri,True,stk,short,15.0,1.0,1.5,1.222222222,41
æggehvide,True,g,short,23.0,165.0,,37.5,40
glukosesirup,True,ml,short,18.0,400.0,,,40
kyllingefilet,True,g,meat,80.0,275.0,,,39
grahamsmel,True,g,long,15.0,1000.0,40.27777778,43.75,39
pinjekerner,True,g,short,24.0,50.0,16.73076923,18.40909091,38
broccoli,True,g,short,16.0,400.0,,79.16666667,38
brød,True,stk,short,25.0,15.0,1.166666667,2.166666667,38
baby spinat,True,g,short,20.0,100.0,62.5,47.08333333,37
cayenne peber,True,stk,long,0.0,1.0,,,36
kyllingebryst,True,g,meat,80.0,250.0,,187.5,35
appelsin,True,stk,short,27.0,10.0,0.5,0.5,35
laurbærblade,True,,long,,,,,35
jordbær,True,g,short,50.0,400.0,70.0,129.1666667,34
kokosmælk,True,ml,short,18.0,400.0,,234.6153846,34
stødt nellike,True,stk,long,0.0,1.0,,,34
chorizo,True,g,short,38.0,225.0,25.0,,33
majsstivelse,True,g,short,35.0,250.0,,7.5,32
valnødder,True,g,long,25.0,120.0,25.35714286,26.25,32
karry,True,,long,,,,,32
solsikkekerner,True,g,short,11.0,250.0,15.0,,31
tortillas pandekager,True,stk,short,30.0,6.0,,3.4,31
sødmælk,True,ml,short,15.0,1000.0,,,31
blandet salat,True,g,short,20.0,100.0,53.125,53.125,30
rasp,True,g,short,23.0,500.0,,20.0,30
rabarber,True,g,short,40.0,200.0,75.0,100.0,29
yoghurt naturel,True,ml,short,27.0,1000.0,,,28
blomkål,True,stk,short,30.0,1.0,0.45,0.4375,28
ahornsirup,True,ml,long,43.0,250.0,,,28
peberkorn,True,,long,,,,,28
sriracha chilisauce,True,ml,short,45.0,450.0,,,27
kærnemælk,True,ml,short,20.0,1000.0,,,26
porre,True,stk,short,10.0,1.0,,0.75,26
mandelmel,True,g,short,40.0,150.0,,,26
kikærter,True,g,short,15.0,400.0,,62.5,26
