urls,amounts,units,ingredients,purchase_unit,spice,price,purchase_size,local_price,pareto,in_recipe,matches
https://www.valdemarsro.dk/indisk-vegetar-bowl/,1.0,spsk,mayonnaise,g,0.0,40.0,350.0,40.0,True,True,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,1.0,stk,æg,stk,0.0,36.0,10.0,36.0,True,True,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,0.5,tsk,røget paprika,stk,1.0,0.0,1.0,0.0,True,False,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,250.0,g,blomkål,stk,0.0,30.0,1.0,30.0,True,False,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,50.0,g,pankorasp,,,,,0.0,False,False,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,0.5,dåse,kikærter,g,0.0,15.0,400.0,15.0,True,False,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,0.5,spsk,olivenolie,ml,0.0,160.0,1000.0,160.0,True,True,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,0.5,tsk,flagesalt,,,,,0.0,,False,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,0.5,stk,løg,stk,0.0,15.0,6.0,15.0,True,False,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,0.5,spsk,ingefær,g,0.0,15.0,200.0,15.0,True,False,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,0.5,fed,hvidløg,fed,0.0,30.0,12.0,30.0,True,False,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,0.5,tsk,stødt spidskommen,stk,1.0,0.0,1.0,0.0,True,False,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,0.5,tsk,garam masala,,1.0,,,0.0,True,False,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,1.5,dl,basmati ris,g,0.0,41.0,500.0,41.0,True,False,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,2.5,dl,grøntsagsbouillon,g,0.0,45.0,200.0,45.0,True,False,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,0.5,håndfuld,bredbladet persille,g,0.0,21.0,180.0,21.0,True,False,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,5.0,g,smør,g,0.0,12.0,5.0,12.0,True,True,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,0.25,stk,ananas,,,,,0.0,False,False,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,0.5,håndfuld,frisk mynte,stk,1.0,0.0,1.0,0.0,True,False,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,0.5,håndfuld,frisk koriander,stk,1.0,0.0,1.0,0.0,True,False,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,0.5,stk,øko lime,,,,,0.0,True,False,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,0.25,stk,rød chili,stk,0.0,5.0,1.0,5.0,True,False,0.1739130434782608
https://www.valdemarsro.dk/indisk-vegetar-bowl/,75.0,g,yoghurt naturel,ml,0.0,27.0,1000.0,27.0,False,False,0.1739130434782608
https://www.valdemarsro.dk/blomkaalsgratin/,15.0,g,smør,g,0.0,12.0,5.0,36.0,True,True,0.25
